source,hardware,framework,model,quant,task_id,run_id,label,ttft,end_to_end,decode_time,output_tokens,output_chars,decode_tok_s,output_text_hash,prompt_chars,max_tokens,timestamp
raw_logs/h200/gemma4_26b_ddx_en.jsonl,h200-nvl,llamacpp,gemma-4-26B-A4B-it,Q4_K_M,ddx_en,0,h200-nvl.llamacpp.gemma-4-26B-A4B-it.Q4_K_M.ddx_en,0.04592314106412232,1.3419025850016624,1.29597944393754,181,850,139.6627090396376,192f8b6880e10332,1084,400,1778375899.0355952
raw_logs/h200/gemma4_26b_ddx_en.jsonl,h200-nvl,llamacpp,gemma-4-26B-A4B-it,Q4_K_M,ddx_en,0,h200-nvl.llamacpp.gemma-4-26B-A4B-it.Q4_K_M.ddx_en,0.038266579853370786,1.3020871710032225,1.2638205911498517,181,850,143.21653031093774,192f8b6880e10332,1084,400,1778376023.6638248
raw_logs/h200/gemma4_26b_ddx_en.jsonl,h200-nvl,llamacpp,gemma-4-26B-A4B-it,Q4_K_M,ddx_en,1,h200-nvl.llamacpp.gemma-4-26B-A4B-it.Q4_K_M.ddx_en,0.037859279196709394,1.3024397741537541,1.2645804949570447,181,850,143.13046952867023,192f8b6880e10332,1084,400,1778376024.97597
raw_logs/h200/gemma4_26b_ddx_en.jsonl,h200-nvl,llamacpp,gemma-4-26B-A4B-it,Q4_K_M,ddx_en,2,h200-nvl.llamacpp.gemma-4-26B-A4B-it.Q4_K_M.ddx_en,0.03397444495931268,1.2998602478764951,1.2658858029171824,181,850,142.98288169666873,192f8b6880e10332,1084,400,1778376026.2833834
raw_logs/h200/gemma4_26b_ddx_en.jsonl,h200-nvl,llamacpp,gemma-4-26B-A4B-it,Q4_K_M,ddx_en,3,h200-nvl.llamacpp.gemma-4-26B-A4B-it.Q4_K_M.ddx_en,0.03645813907496631,1.3112027770839632,1.2747446380089968,181,850,141.98922247102055,192f8b6880e10332,1084,400,1778376027.60201
raw_logs/h200/gemma4_26b_ddx_en.jsonl,h200-nvl,llamacpp,gemma-4-26B-A4B-it,Q4_K_M,ddx_en,4,h200-nvl.llamacpp.gemma-4-26B-A4B-it.Q4_K_M.ddx_en,0.03570620506070554,1.2954185400158167,1.2597123349551111,181,850,143.6835974194456,192f8b6880e10332,1084,400,1778376028.904863
raw_logs/h200/gemma4_26b_drug_zh.jsonl,h200-nvl,llamacpp,gemma-4-26B-A4B-it,Q4_K_M,drug_zh,0,h200-nvl.llamacpp.gemma-4-26B-A4B-it.Q4_K_M.drug_zh,0.034438125090673566,0.9282915340736508,0.8938534089829773,141,233,157.74398641095883,044eee78c9b90d09,305,500,1778376031.3817804
raw_logs/h200/gemma4_26b_drug_zh.jsonl,h200-nvl,llamacpp,gemma-4-26B-A4B-it,Q4_K_M,drug_zh,1,h200-nvl.llamacpp.gemma-4-26B-A4B-it.Q4_K_M.drug_zh,0.033588438061997294,0.9211945601273328,0.8876061220653355,141,233,158.85424457406026,044eee78c9b90d09,305,500,1778376032.3096807
raw_logs/h200/gemma4_26b_drug_zh.jsonl,h200-nvl,llamacpp,gemma-4-26B-A4B-it,Q4_K_M,drug_zh,2,h200-nvl.llamacpp.gemma-4-26B-A4B-it.Q4_K_M.drug_zh,0.034286702051758766,0.9359897731337696,0.9017030710820109,141,233,156.37076607802294,044eee78c9b90d09,305,500,1778376033.2523203
raw_logs/h200/gemma4_26b_drug_zh.jsonl,h200-nvl,llamacpp,gemma-4-26B-A4B-it,Q4_K_M,drug_zh,3,h200-nvl.llamacpp.gemma-4-26B-A4B-it.Q4_K_M.drug_zh,0.033326317789033055,0.9320618498604745,0.8987355320714414,141,233,156.88708743385007,044eee78c9b90d09,305,500,1778376034.190973
